timeStamp;elapsed;label;responseCode;responseMessage;threadName;dataType;success;failureMessage;bytes;sentBytes;grpThreads;allThreads;URL;Latency;IdleTime;Connect;"iter_transactionName";"iter_useCase";"iter_sessionId";"user.email";"iter_zooId";"test.id";"loadProfile.threads"
1691961013710;861;00.00.0.launch;200;OK;Users_ThreadGroup 1-5;text;true;;15882;151;1;1;https://test-api.k6.io/;855;0;673;T.00.00.Launch;null;4f9adf6d-e894-418e-aa77-4ec0da98c9a7;customer_3_2@ukr.net;null;01_load_2023-08-13;5
1691961013506;861;T.00.00.Launch;200;Number of samples in transaction : 1, number of failing samples : 0;Users_ThreadGroup 1-5;;true;;15882;151;1;1;null;855;268;673;T.00.00.Launch;null;4f9adf6d-e894-418e-aa77-4ec0da98c9a7;customer_3_2@ukr.net;null;01_load_2023-08-13;5
1691961018459;220;00.01.0.login;200;OK;Users_ThreadGroup 1-5;text;true;;15882;151;1;1;https://test-api.k6.io/;220;0;0;T.0.1.Login;null;4f9adf6d-e894-418e-aa77-4ec0da98c9a7;customer_3_2@ukr.net;null;01_load_2023-08-13;5
1691961018680;116;00.01.1.getZoo;200;OK;Users_ThreadGroup 1-5;text;true;;15882;151;1;1;https://test-api.k6.io/;116;0;0;T.0.1.Login;null;4f9adf6d-e894-418e-aa77-4ec0da98c9a7;customer_3_2@ukr.net;3;01_load_2023-08-13;5
1691961018459;336;T.0.1.Login;200;Number of samples in transaction : 2, number of failing samples : 0;Users_ThreadGroup 1-5;;true;;31764;302;1;1;null;336;81;0;T.0.1.Login;null;4f9adf6d-e894-418e-aa77-4ec0da98c9a7;customer_3_2@ukr.net;3;01_load_2023-08-13;5
1691961030403;150;01.00.0.publicCrocodileList;200;OK;Users_ThreadGroup 1-5;text;true;;812;169;1;1;https://test-api.k6.io/public/crocodiles/;150;0;0;T.01.00.PublicCrocodileList;Navigation;4f9adf6d-e894-418e-aa77-4ec0da98c9a7;customer_3_2@ukr.net;3;01_load_2023-08-13;5
1691961030701;222;01.00.1.getCart;200;OK;Users_ThreadGroup 1-5;text;true;;15882;151;1;1;https://test-api.k6.io/;222;0;0;T.01.00.PublicCrocodileList;Navigation;4f9adf6d-e894-418e-aa77-4ec0da98c9a7;customer_3_2@ukr.net;3;01_load_2023-08-13;5
1691961030402;372;T.01.00.PublicCrocodileList;200;Number of samples in transaction : 2, number of failing samples : 0;Users_ThreadGroup 1-5;;true;;16694;320;1;1;null;372;211;0;T.01.00.PublicCrocodileList;Navigation;4f9adf6d-e894-418e-aa77-4ec0da98c9a7;customer_3_2@ukr.net;3;01_load_2023-08-13;5
1691961035853;247;01.01.0.publicCrocodileView;200;OK;Users_ThreadGroup 1-5;text;true;;490;341;1;1;https://test-api.k6.io/public/crocodiles/7/;115;0;0;T.01.01.PublicCrocodileView;Navigation;4f9adf6d-e894-418e-aa77-4ec0da98c9a7;customer_3_2@ukr.net;3;01_load_2023-08-13;5
1691961035853;115;01.01.0.publicCrocodileView-0;301;Moved Permanently;Users_ThreadGroup 1-5;text;true;;216;170;1;1;https://test-api.k6.io/public/crocodiles/7;115;0;0;T.01.01.PublicCrocodileView;Navigation;4f9adf6d-e894-418e-aa77-4ec0da98c9a7;customer_3_2@ukr.net;3;01_load_2023-08-13;5
